"id","depth","KS","HCC_thr","HCC_ths","HCC_alp","HCC_n"
"7010",15,3.2037037037037e-06,0,0.455250847457627,6.33881355932203,1.1911779661017
"7010",30,3.2037037037037e-06,0,0.453253672316384,6.49819209039548,1.19107118644068
"7010",60,6.48148148148148e-08,0,0.436240677966102,6.26423728813559,1.19240790960452
"7010",100,2.94700774220548e-07,0,0.436484745762712,6.43966101694915,1.19375536723164
"7010",200,1.86519146264909e-07,0,0.436728813559322,6.61508474576271,1.19510282485876
"7011",0,3.2037037037037e-06,0.110088607594937,0.694296202531646,0.725189873417721,1.46531012658228
"7011",5,3.2037037037037e-06,0.0578670886075949,0.59220253164557,2.48632911392405,1.33587721518987
"7011",15,3.2037037037037e-06,0,0.463073417721519,5.71455696202532,1.19159620253165
"7011",30,3.2037037037037e-06,0,0.461155696202532,5.86759493670886,1.19149367088608
"7011",60,6.48148148148148e-08,0,0.436027848101266,6.11126582278481,1.19123291139241
"7011",100,1.55707923112986e-07,0,0.43633164556962,6.32962025316456,1.19291012658228
"7011",200,1.25410220346929e-07,0,0.436817721518987,6.67898734177215,1.19559367088608
"7012",0,3.2037037037037e-06,0.1115,0.6969,0.69,1.4688
"7012",5,3.2037037037037e-06,0.109835820895522,0.693076119402985,0.791641791044776,1.4646447761194
"7012",15,3.2037037037037e-06,0,0.4407,7.5,1.1904
"7012",30,3.2037037037037e-06,0,0.4407,7.5,1.1904
"7012",60,6.48148148148148e-08,0,0.437,6.81,1.1966
"7012",100,6.48148148148148e-08,0,0.437,6.81,1.1966
"7012",200,6.48148148148148e-08,0,0.437,6.81,1.1966
"71001",0,2.21933100522086e-06,0.10869155987627,0.691718868758285,0.760022094564737,1.46185572249227
"71001",5,2.43669600333873e-06,0.0229109589041096,0.533467123287671,2.89876712328767,1.24975068493151
"71001",15,2.42562007986776e-06,0.00463146266018559,0.499744321696863,3.35452496685815,1.20455196641626
"71001",30,2.28163307474509e-06,0,0.491133053468847,3.47534246575342,1.19309642068051
"71001",60,6.48148148148148e-08,0,0.432193769332744,3.36104286345559,1.17008917366328
"71001",100,6.69301648090866e-08,0,0.432193769332744,3.36104286345559,1.17008917366328
"71001",200,6.58724898119507e-08,0,0.432164604507291,3.36216526734423,1.17002244807777
"71002",0,3.02964248971193e-06,0.1115,0.6969,0.69,1.4688
"71002",5,3.11667309670782e-06,0.0867222222222222,0.651188888888889,1.30777777777778,1.40753333333333
"71002",15,3.11667309670782e-06,0.00774305555555556,0.505484722222222,3.27694444444444,1.21224583333333
"71002",30,3.07315779320988e-06,0,0.4912,3.47,1.1931
"71002",60,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71002",100,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71002",200,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71003",0,2.93126006441224e-06,0.1115,0.6969,0.69,1.4688
"71003",5,2.93126006441224e-06,0.0969565217391304,0.670069565217391,1.05260869565217,1.43283913043478
"71003",15,2.93126006441224e-06,0.0630217391304348,0.607465217391304,1.89869565217391,1.34893043478261
"71003",30,3.06748188405797e-06,0,0.4912,3.47,1.1931
"71003",60,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71003",100,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71003",200,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71004",0,2.3916037037037e-06,0.1072184,0.68900112,0.796752,1.45821312
"71004",5,2.57708333333333e-06,0.0112392,0.51193456,3.189776,1.22089056
"71004",15,2.55201851851852e-06,0,0.4912,3.47,1.1931
"71004",30,2.46679814814815e-06,0,0.4912,3.47,1.1931
"71004",60,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71004",100,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71004",200,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71005",0,3.2037037037037e-06,0.1115,0.6969,0.69,1.4688
"71005",5,3.2037037037037e-06,0.083625,0.645475,1.385,1.399875
"71005",15,3.2037037037037e-06,0.005575,0.501485,3.331,1.206885
"71005",30,3.2037037037037e-06,0,0.4912,3.47,1.1931
"71005",60,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71005",100,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71005",200,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71006",0,1.9645443196005e-06,0.107365730337079,0.689272921348315,0.793078651685393,1.45857741573034
"71006",5,2.26729348730753e-06,0.0202955056179775,0.52864202247191,2.96397752808989,1.24328359550562
"71006",15,2.25673246982938e-06,0.000751685393258427,0.492586741573034,3.45125842696629,1.19495865168539
"71006",30,1.96102398044111e-06,0,0.4912,3.47,1.1931
"71006",60,6.48148148148148e-08,0,0.432178764044944,3.35877528089888,1.17004269662921
"71006",100,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71006",200,6.48148148148148e-08,0,0.432157528089888,3.35755056179775,1.16998539325843
"71008",0,2.32174786745407e-06,0.1115,0.6969,0.69,1.4688
"71008",5,2.49443852070574e-06,0.0520187007874016,0.587166338582677,2.17303149606299,1.32172381889764
"71008",15,2.45743338072324e-06,0.0193149606299213,0.526833070866142,2.98842519685039,1.24085905511811
"71008",30,2.39575814741907e-06,0,0.491001181102362,3.48586614173228,1.19308937007874
"71008",60,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71008",100,6.48148148148148e-08,0,0.432162795275591,3.35785433070866,1.16999960629921
"71008",200,6.48148148148148e-08,0,0.432107283464567,3.36714566929134,1.1699031496063
"71009",0,2.17295860171766e-06,0.108429710144928,0.691235797101449,0.766550724637681,1.46120826086957
"71009",5,2.40604927088925e-06,0.0248855072463768,0.537109855072464,2.84953623188406,1.25463304347826
"71009",15,2.38637278582931e-06,0.00506328502415459,0.500540966183575,3.34375845410628,1.20561971014493
"71009",30,2.22139302648059e-06,0,0.491151207729469,3.47389371980676,1.19309739130435
"71009",60,6.48148148148148e-08,0,0.432190869565217,3.35947342995169,1.17007536231884
"71009",100,6.48148148148148e-08,0,0.432190869565217,3.35947342995169,1.17007536231884
"71009",200,6.48148148148148e-08,0,0.432158985507246,3.36070048309179,1.17000241545894
"71010",0,2.73586496564438e-06,0.108977375565611,0.692246153846154,0.75289592760181,1.46256244343891
"71010",5,2.97687280040221e-06,0.0126131221719457,0.514469230769231,3.15552036199095,1.22428778280543
"71010",15,2.87763428020781e-06,0,0.4912,3.47,1.1931
"71010",30,2.75004189710072e-06,0,0.4912,3.47,1.1931
"71010",60,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71010",100,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71010",200,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71011",0,2.05876771833562e-06,0.102965432098765,0.681155061728395,0.90279012345679,1.44769703703704
"71011",5,2.35273776863283e-06,0.0379925925925926,0.56129037037037,2.52274074074074,1.28704222222222
"71011",15,2.38368198445359e-06,0.000550617283950617,0.492215802469136,3.45627160493827,1.19446148148148
"71011",30,2.16707247370828e-06,0,0.4912,3.47,1.1931
"71011",60,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71011",100,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71011",200,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71013",0,2.70240740740741e-06,0.105553333333333,0.685929333333333,0.838266666666667,1.454096
"71013",5,2.82773148148148e-06,0.0193266666666667,0.526854666666667,2.98813333333333,1.240888
"71013",15,2.86950617283951e-06,0,0.4912,3.47,1.1931
"71013",30,2.86950617283951e-06,0,0.4912,3.47,1.1931
"71013",60,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71013",100,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71013",200,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71014",0,2.47067610062893e-06,0.102243396226415,0.679823018867925,0.920792452830189,1.44591169811321
"71014",5,2.61255241090147e-06,0.0100981132075472,0.509829433962264,3.21822641509434,1.21806905660377
"71014",15,2.65984451432565e-06,0.000841509433962264,0.492752452830189,3.44901886792453,1.19518075471698
"71014",30,2.68349056603774e-06,0,0.4912,3.47,1.1931
"71014",60,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71014",100,8.2879105520615e-08,0,0.4322,3.36,1.1701
"71014",200,7.38469601677149e-08,0,0.4322,3.36,1.1701
"71015",0,3.2037037037037e-06,0.1115,0.6969,0.69,1.4688
"71015",5,3.2037037037037e-06,0.1115,0.6969,0.69,1.4688
"71015",15,3.2037037037037e-06,0.0630217391304348,0.607465217391304,1.89869565217391,1.34893043478261
"71015",30,3.2037037037037e-06,0,0.490102173913044,3.55760869565217,1.19304130434783
"71015",60,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71015",100,6.48148148148148e-08,0,0.4322,3.36,1.1701
"71015",200,6.48148148148148e-08,0,0.432304347826087,3.435,1.17067608695652
"72002",0,2.54902570480929e-06,0.110667910447761,0.695364925373134,0.710746268656717,1.46674253731343
"72002",5,2.73023122236042e-06,0.0230904850746269,0.533609888059701,2.90932835820896,1.25018451492537
