"id","length","NULL","Principal","SecondaryA","SecondaryU","Unproductive","SecondaryB"
"42016",34446.8561445854,0,429.033660708367,961.480169105211,468.147439850673,712.596008016283,270.513522080564
"52002",5866.16306147195,228.627342172996,568.851100796339,0,492.113849948315,2.52414700137072,1245.63269769317
"71009",109397.870118878,0,1170.35080060059,1320.73077999749,0,0,1182.84100384444
"42018",0,NA,NA,NA,NA,NA,NA
"39076",48094.7327705161,0,401.171458912482,743.200680793085,290.760277815298,0,1440.16686931332
"34007",24316.2935918172,0,312.410759858707,85.6208960996245,0,27.6819065253859,1097.96180432204
"39019",37341.8164779615,0,320.990589502298,884.969197513108,133.567173751727,139.550913964704,605.424986014268
"39020",12587.0743506266,0,1018.53182926032,172.49853257891,483.198504340873,0,988.953511213419
"37008",5361.80695689457,0,242.137964756083,24.6938336389754,0,66.7370549930161,1240.47270257995
"38030",25768.8049798594,0,201.629574021083,348.032077766955,0,55.2632854615799,1038.01831558599
"84013",79471.4159533252,523.936189124853,0,577.851104087937,0,0,1976.43844091636
"33032",0,NA,NA,NA,NA,NA,NA
"45013",1647.77198643501,0,463.128989332371,580.197589891785,0,0,947.656915784822
"45816",0,NA,NA,NA,NA,NA,NA
"54114",91323.8184074245,0,12.9539203418128,677.438983653642,40.2242584837178,0,1175.51711124622
"33015",39028.4868894921,0,66.5662568091587,55.9477517936777,36.780840329891,40.4633764688765,1673.73369984166
"33016",104371.16535429,0,140.874040287876,344.612421571808,6.5043684476651,46.4060678295104,1125.05684119225
"33018",11603.1617983626,0,33.2358998701124,314.043383565177,180.782657678654,0,1161.57843883709
"58008",12486.0834659448,0,40.9572442398188,2035.61970098588,0,0,0
"39118",0,NA,NA,NA,NA,NA,NA
"54113",11284.5452172031,0,35.9418560517936,770.429120541095,80.0968314914486,0,2221.96693516583
"69043",0,NA,NA,NA,NA,NA,NA
"56013",0,NA,NA,NA,NA,NA,NA
"54102",9417.91522510628,0,1.43486660350862,21.1817940679935,221.187686261029,0,1676.3538002558
"54045",0,NA,NA,NA,NA,NA,NA
"52007",5045.53128544829,77.9647765358327,366.147314943095,30.6226677264556,407.668990802808,2.20928624424238,638.593682762322
"55033",0,NA,NA,NA,NA,NA,NA
"58006",6374.54846073839,0,0.85377808409929,2007.6923561323,0,0,405.972865340186
"89003",12234.2689608311,3290.43090771154,0,0,134.673505642625,0,0
"53007",28466.6687855754,68.5326132841997,137.123052285315,624.931885147455,198.82454300329,5.12380785248154,682.764514919305
"75004",0,NA,NA,NA,NA,NA,NA
"50012",0,NA,NA,NA,NA,NA,NA
"57001",3454.87526877474,0,7.285679793521,1668.21917482856,0,0,123.91596577995
"54018",23716.1497330629,0,1.57293480011603,46.0719142190808,0,0,1959.26261526773
"72002",17399.3801839226,0,1577.95770256441,1266.32905749089,0,0,570.703605264377
"31002",25490.6936073969,0,148.541697609426,66.1245904813775,304.291645003092,0,1290.4443133051
"42010",42033.6303176288,0,432.47386992407,1003.36415139396,448.164817931781,702.460963149018,280.804487484264
"201008",20243.4804091986,2759.24086774274,0,0,0,0,0
"55022",17242.3166934404,0,0,522.283891095709,0,0,2094.33668290154
"65005",3977.91612365544,0,0,0,0,0,1644.82863259859
"54046",4295.41832455127,0,155.335208340406,807.317378046786,0,0,1363.7122704873
"50001",36023.5538357206,0,7.53076905793607,1690.77565677266,0,0,0
"55013",20454.6640604826,0,0,33.8562806061308,0,0,2026.59373033852
"64001",56866.0982254396,0,0,120.784805551795,0,0,2903.88682750527
"68020",11295.9898796976,0,1280.84915050801,1565.67674777014,0,0,3406.04564498159
"54004",46247.6516498536,0,8.34697243125525,760.023157131501,0,0,926.130977408553
"54005",161410.497381207,0,37.6474950156272,287.254806957932,0,0,2024.84890316661
"54008",90007.2816479843,0,0,315.307903726076,0,0,1896.15604852607
"55018",1891.3139585478,0,0,627.369253678192,0,0,1658.68398880044
"53028",23563.5665550341,0,215.605922968512,154.526686062805,123.898773211601,0,1681.34610744645
"8017",4162.25150718945,3228.56142940387,0,0,0,0,0
"8015",6913.35513745342,3243.86018816311,0,0,0,0,0
"4003",16614.6759352352,3346.90829466067,0,254.021400966981,0,0,0
"4008",4199.93806439257,2576.58888081578,0,596.686204499219,0,0,0
"3001",18819.6416268844,3185.67141996442,0,0,0,0,0
"8008",26755.7137806701,2682.32582883896,0,0,6.85962569575347,0,0
"9006",3521.05559483563,2920.68363706814,0,0,0,0,0
"7011",0,NA,NA,NA,NA,NA,NA
"9009",7323.06456806585,2566.39308020595,0,661.190169275467,0,0,0
"8021",0,NA,NA,NA,NA,NA,NA
"9001",29200.9756148957,3280.20823764791,0,10.5504457441559,0,0,0
"9003",2559.60648430854,3313.75608873953,0,0,0,0,0
"12009",0,NA,NA,NA,NA,NA,NA
"15008",4249.82771502137,1662.81575756078,0,0,0,0,0
