"id","Rocks with essentially no groundwater","Moderately productive aquifer","Low productivity aquifer","Highly productive aquifer","Low productive aquifer","Modeately productivity aquifer","Unknown","Significant intergranular flow","Flow is virtually all through fractures and other discontinuities"
"33022",182946403.779236,11501092.2263947,0,345179691.494537,0,0,182946403.779236,148796229.409866,207884554.311066
"33023",0,0,0,131889374.999969,0,0,0,0,131889374.999969
"33024",1918072.51701355,0,3536693.26320648,194131484.219978,0,0,1918072.51701355,3536693.26320648,194131484.219978
"33025",4742315.77072144,814827.258026123,0,39136606.9715729,0,0,4742315.77072144,2081095.97937012,37870338.2502289
"33026",1507566890.10746,606425619.850754,0,452304990.041161,0,0,1507566890.10746,227416201.224121,831314408.667793
"33027",56486093.7416687,1691062.70530701,0,70316906.0531616,0,0,56486093.7416687,1691062.70530701,70316906.0531616
"33028",36101485.7637482,227762.776535034,0,83089813.9600296,0,0,36101485.7637482,75879120.9365082,7438455.80005646
"33029",6778640.46858215,236984.581558228,0,88394062.4498444,0,0,6778640.46858215,236984.581558228,88394062.4498444
"33030",33946745.1273575,0,0,6402317.37271881,0,0,33946745.1273575,6402317.37271881,0
"33031",43465676.5441895,0,0,26602135.9555206,0,0,43465676.5441895,26602135.9555206,0
"33032",0,0,0,56161874.9999237,0,0,0,770642.126602173,55391232.8733215
"33033",4162676.71524048,8052457.03342438,0,100742991.251534,0,0,4162676.71524048,9327890.00470734,99467558.2802505
"33034",0,96983516.3803253,0,610773358.619614,0,0,0,96983516.3803253,610773358.619614
"33035",665573107.016335,145963300.329056,3536693.26320648,2765713149.39097,0,0,665573107.016335,201898483.865547,2713314659.11768
"33037",366435341.630394,435492470.870056,0,0,0,0,366435341.630394,0,435492470.870056
"33039",970473212.220131,593943657.360741,0,97880942.9191208,0,0,970473212.220131,69375616.1867371,622448984.093124
"33040",0,0,0,297187.499969482,0,0,0,0,297187.499969482
"33044",0,0,0,274993749.999954,0,0,0,0,274993749.999954
"33045",0,0,0,27450937.5003204,0,0,0,0,27450937.5003204
"33046",0,0,0,143427812.499512,0,0,0,0,143427812.499512
"33048",0,0,0,27977812.4999237,0,0,0,0,27977812.4999237
"33049",0,0,0,46449375.0000916,0,0,0,0,46449375.0000916
"33050",0,0,0,57876250.0000305,0,0,0,0,57876250.0000305
"33051",1918072.51701355,0,3536693.26320648,134566796.719467,0,0,1918072.51701355,3536693.26320648,134566796.719467
"33052",0,0,0,33132813.1790466,0,0,0,0,33132813.1790466
"33053",0,0,0,113982187.499901,0,0,0,0,113982187.499901
"33054",5672895.60426331,3503818.38021851,0,39362973.5158844,0,0,5672895.60426331,4996453.64587402,37870338.2502289
"33055",0,0,0,101974374.999985,0,0,0,0,101974374.999985
"33056",0,33.7569885253906,0,92558403.7430115,0,0,0,33.7569885253906,92558403.7430115
"33057",71848817.9649811,11558213.7324295,0,38990155.8028259,0,0,71848817.9649811,10484829.0704422,40063540.4648132
"33058",144207224.018318,11558213.7324295,0,65343937.2494431,0,0,144207224.018318,36838610.5170593,40063540.4648132
"33061",0,0,0,1028749.99996185,0,0,0,0,1028749.99996185
"33062",0,0,0,140312.499977112,0,0,0,0,140312.499977112
"33063",0,14392435.2081299,0,88932564.791626,0,0,0,14392435.2081299,88932564.791626
"33064",0,0,0,14563437.5000763,0,0,0,0,14563437.5000763
"33065",0,198833.218795776,0,11830229.2812424,0,0,0,198833.218795776,11830229.2812424
"33066",0,0,0,61610937.5000534,0,0,0,0,61610937.5000534
"33068",0,0,0,113125.000015259,0,0,0,0,113125.000015259
"33070",0,17290684.1096344,0,93779628.389679,0,0,0,17290684.1096344,93779628.389679
"34001",0,1356197.41259766,0,227448802.587402,0,0,0,1356197.41259766,227448802.587402
"34002",0,30214138.0132141,0,122978986.986526,0,0,0,30214138.0132141,122978986.986526
"34003",0,87762725.4093933,0,73508837.0903931,0,0,0,87762725.4093933,73508837.0903931
"34004",0,6843058.86123657,0,552853816.13916,0,0,0,6843058.86123657,552853816.13916
"34005",0,0,0,72112499.9998169,0,0,0,0,72112499.9998169
"34006",0,233083481.095016,0,142997143.905319,0,0,0,233083481.095016,142997143.905319
"34007",0,139367812.500168,0,0,0,0,0,139367812.500168,0
"34008",0,44425937.5,0,0,0,0,0,44425937.5,0
"34010",0,13363529.4350891,0,136758345.564835,0,0,0,13363529.4350891,136758345.564835
"34011",0,0,0,162932187.499863,0,0,0,0,162932187.499863
"34012",0,0,0,83873125.0001373,0,0,0,0,83873125.0001373
"34014",0,0,0,377462812.500244,0,0,0,0,377462812.500244
"34018",0,0,0,86133124.9996185,0,0,0,0,86133124.9996185
"34019",0,240996161.179657,0,86914463.819809,0,0,0,240996161.179657,86914463.819809
"35001",18261403.1838379,187639969.9673,13387732.0744476,96402144.7744446,0,0,18261403.1838379,201027702.041748,96402144.7744446
"35002",541832.576278687,96358257.572937,0,64879597.3501129,0,0,541832.576278687,96358257.572937,64879597.3501129
"35003",0,62236247.4674683,0,537502.532089233,0,0,0,62236247.4674683,537502.532089233
"35004",0,49164770.9058075,0,7183041.59432983,0,0,0,49164770.9058075,7183041.59432983
"35008",0,123614759.560287,0,2240865.43978882,0,0,0,123614759.560287,2240865.43978882
